neuron,concept,concept_id,metric
182,dowitcher,n02033041,0.9688
183,manhole cover,n03717622,0.9754
184,great white shark,n01484850,0.9898
185,dishrag,n03207743,0.9921
186,fountain pen,n03388183,0.9258
187,yawl,n04612504,0.9520
188,typewriter keyboard,n04505470,0.9760
189,zebra,n02391049,0.9936
190,tractor,n04465501,0.9663
191,school bus,n04146614,0.9966
192,carton,n02971356,0.9562
193,wing,n04592741,0.9765
194,barber chair,n02791124,0.9728
195,flamingo,n02007558,0.9658
196,cuirass,n03146219,0.9764
197,parallel bars,n03888605,0.9381
198,refrigerator,n04070727,0.9501
199,moped,n03785016,0.9790
200,jack-o'-lantern,n03590841,0.9719
201,armadillo,n02454379,0.9732
202,hartebeest,n02422106,0.9805
203,chickadee,n01592084,0.9880
204,ballplayer,n09835506,0.9465
205,grille,n03459775,0.9791
206,hard disc,n03492542,0.9345
207,thunder snake,n01728572,0.9398
208,manhole cover,n03717622,0.9692
209,leafhopper,n02259212,0.9860
210,chambered nautilus,n01968897,0.9800
211,goblet,n03443371,0.9728
212,kerry blue terrier,n02093859,0.9670
213,jaguar,n02128925,0.9694
214,pinwheel,n03944341,0.9329
215,dishrag,n03207743,0.9800
216,triumphal arch,n04486054,0.9634
217,black-footed ferret,n02443484,0.9710
218,mud turtle,n01667114,0.9838
219,overskirt,n03866082,0.9844
220,liner,n03673027,0.9499
221,rapeseed,n11879895,0.9909
222,honeycomb,n03530642,0.9626
223,crib,n03131574,0.9714
224,carbonara,n07831146,0.9787
225,thimble,n04423845,0.9461
226,alp,n09193705,0.9952
227,hot pot,n07590611,0.9563
228,manhole cover,n03717622,0.9423
229,green mamba,n01749939,0.9497
230,running shoe,n04120489,0.9604
231,jacamar,n01843065,0.9749
232,box turtle,n01669191,0.9694
233,soup bowl,n04263257,0.9626
234,european fire salamander,n01629819,0.9695
235,strawberry,n07745940,0.9717
236,bikini,n02837789,0.9917
237,limpkin,n02013706,0.9760
238,disk brake,n03208938,0.9361
239,acoustic guitar,n02676566,0.9670
240,revolver,n04086273,0.9682
241,hoopskirt,n03534580,0.9641
242,blenheim spaniel,n02086646,0.9735
243,orange,n07747607,0.9426
244,wok,n04596742,0.9752
245,hen,n01514859,0.9836
246,king snake,n01734418,0.9811
247,sandal,n04133789,0.9591
248,spoonbill,n02006656,0.9569
249,stinkhorn,n13040303,0.9600
250,cliff dwelling,n03042490,0.9952
251,artichoke,n07718747,0.9635
252,bittern,n02011460,0.9556
253,monarch,n02279972,0.9886
254,basketball,n02802426,0.9944
255,komodo dragon,n01695060,0.9632
256,scottish deerhound,n02092002,0.9542
257,yellow lady's slipper,n12057211,0.9854
258,stupa,n04346328,0.9771
259,chiton,n01955084,0.9629
260,cheeseburger,n07697313,0.9549
261,disk brake,n03208938,0.9842
262,guillotine,n03467068,0.9822
263,artichoke,n07718747,0.9537
264,guacamole,n07583066,0.9612
265,steel arch bridge,n04311004,0.9793
266,bernese mountain dog,n02107683,0.9811
267,bikini,n02837789,0.9658
268,hay,n07802026,0.8932
269,police van,n03977966,0.9785
270,daisy,n11939491,0.9697
271,eskimo dog,n02109961,0.9816
272,racket,n04039381,0.9781
273,stage,n04296562,0.9643
274,bernese mountain dog,n02107683,0.9857
275,african elephant,n02504458,0.9762
276,great white shark,n01484850,0.9837
277,police van,n03977966,0.9588
278,great grey owl,n01622779,0.9714
279,car mirror,n02965783,0.9691
280,german short-haired pointer,n02100236,0.9551
281,cello,n02992211,0.9501
282,typewriter keyboard,n04505470,0.9790
283,dogsled,n03218198,0.9478
284,admiral,n02276258,0.9863
285,kerry blue terrier,n02093859,0.9655
286,paddlewheel,n03874293,0.9445
287,forklift,n03384352,0.9694
288,king snake,n01734418,0.9832
289,beaver,n02363005,0.9608
290,shoe shop,n04200800,0.9563
291,theater curtain,n04418357,0.9858
