neuron,concept,concept_id,metric
183,kerry blue terrier,n02093859,0.9991
184,irish terrier,n02093991,0.9965
185,norwich terrier,n02094258,0.9945
186,norwich terrier,n02094258,0.9978
187,yorkshire terrier,n02094433,0.9985
188,wire-haired fox terrier,n02095314,0.9974
189,lakeland terrier,n02095570,0.9957
190,sealyham terrier,n02095889,0.9986
191,airedale,n02096051,0.9979
192,cairn,n02096177,0.9966
193,australian terrier,n02096294,0.9959
194,dandie dinmont,n02096437,0.9980
195,boston bull,n02096585,0.9981
196,miniature schnauzer,n02097047,0.9980
197,giant schnauzer,n02097130,0.9979
198,standard schnauzer,n02097209,0.9978
199,giant schnauzer,n02097130,0.9947
200,tibetan terrier,n02097474,0.9936
201,silky terrier,n02097658,0.9980
202,soft-coated wheaten terrier,n02098105,0.9977
203,west highland white terrier,n02098286,0.9990
204,lhasa,n02098413,0.9980
205,flat-coated retriever,n02099267,0.9981
206,curly-coated retriever,n02099429,0.9980
207,golden retriever,n02099601,0.9958
208,labrador retriever,n02099712,0.9959
209,chesapeake bay retriever,n02099849,0.9964
210,german short-haired pointer,n02100236,0.9987
211,vizsla,n02100583,0.9984
212,english setter,n02100735,0.9957
213,irish setter,n02100877,0.9989
214,gordon setter,n02101006,0.9986
215,brittany spaniel,n02101388,0.9984
216,clumber,n02101556,0.9992
217,welsh springer spaniel,n02102177,0.9975
218,welsh springer spaniel,n02102177,0.9995
219,cocker spaniel,n02102318,0.9965
220,sussex spaniel,n02102480,0.9983
221,irish water spaniel,n02102973,0.9989
222,kuvasz,n02104029,0.9986
223,schipperke,n02104365,0.9993
224,groenendael,n02105056,0.9985
225,malinois,n02105162,0.9988
226,briard,n02105251,0.9959
227,kelpie,n02105412,0.9888
228,komondor,n02105505,0.9992
229,old english sheepdog,n02105641,0.9976
230,shetland sheepdog,n02105855,0.9990
231,collie,n02106030,0.9977
232,border collie,n02106166,0.9969
233,bouvier des flandres,n02106382,0.9981
234,rottweiler,n02106550,0.9957
235,german shepherd,n02106662,0.9976
236,doberman,n02107142,0.9981
237,doberman,n02107142,0.9942
238,entlebucher,n02108000,0.9980
239,bernese mountain dog,n02107683,0.9993
240,appenzeller,n02107908,0.9982
241,entlebucher,n02108000,0.9987
242,bull mastiff,n02108422,0.9942
243,bull mastiff,n02108422,0.9983
244,tibetan mastiff,n02108551,0.9983
245,french bulldog,n02108915,0.9978
246,great dane,n02109047,0.9967
247,saint bernard,n02109525,0.9991
248,eskimo dog,n02109961,0.9981
249,eskimo dog,n02109961,0.9966
250,eskimo dog,n02109961,0.9978
251,dalmatian,n02110341,0.9968
252,affenpinscher,n02110627,0.9988
253,basenji,n02110806,0.9976
254,pug,n02110958,0.9993
255,leonberg,n02111129,0.9995
256,newfoundland,n02111277,0.9974
257,great pyrenees,n02111500,0.9979
258,samoyed,n02111889,0.9960
259,pomeranian,n02112018,0.9972
260,chow,n02112137,0.9972
261,keeshond,n02112350,0.9997
262,brabancon griffon,n02112706,0.9969
263,pembroke,n02113023,0.9972
264,pembroke,n02113023,0.9921
265,toy poodle,n02113624,0.9968
266,miniature poodle,n02113712,0.9963
267,irish water spaniel,n02102973,0.9950
268,mexican hairless,n02113978,0.9991
269,timber wolf,n02114367,0.9977
270,white wolf,n02114548,0.9988
271,red wolf,n02114712,0.9989
272,coyote,n02114855,0.9981
273,red wolf,n02114712,0.9927
274,red wolf,n02114712,0.9957
275,african hunting dog,n02116738,0.9997
276,hyena,n02117135,0.9995
277,red fox,n02119022,0.9986
278,kit fox,n02119789,0.9989
279,arctic fox,n02120079,0.9994
280,grey fox,n02120505,0.9978
281,tabby,n02123045,0.9965
282,tiger,n02129604,0.9974
283,persian cat,n02123394,0.9997
284,siamese cat,n02123597,0.9993
285,egyptian cat,n02124075,0.9960
286,cougar,n02125311,0.9969
287,lynx,n02127052,0.9965
288,leopard,n02128385,0.9990
289,snow leopard,n02128757,0.9998
290,jaguar,n02128925,0.9994
291,lion,n02129165,0.9982
292,tiger,n02129604,0.9987
293,cheetah,n02130308,0.9993
294,brown bear,n02132136,0.9994
295,american black bear,n02133161,0.9992
296,ice bear,n02134084,0.9987
297,sloth bear,n02134418,0.9983
298,meerkat,n02138441,0.9975
299,meerkat,n02138441,0.9995
300,tiger beetle,n02165105,0.9996
301,ladybug,n02165456,0.9983
302,ground beetle,n02167151,0.9977
303,long-horned beetle,n02168699,0.9967
304,leaf beetle,n02169497,0.9975
305,dung beetle,n02172182,0.9983
306,rhinoceros beetle,n02174001,0.9994
307,weevil,n02177972,0.9989
308,fly,n02190166,0.9994
309,bee,n02206856,0.9973
310,tiger beetle,n02165105,0.9947
311,grasshopper,n02226429,0.9982
312,grasshopper,n02226429,0.9969
313,walking stick,n02231487,0.9961
314,cockroach,n02233338,0.9890
315,mantis,n02236044,0.9960
316,cicada,n02256656,0.9992
317,leafhopper,n02259212,0.9991
318,lacewing,n02264363,0.9989
319,dragonfly,n02268443,0.9986
320,damselfly,n02268853,0.9994
321,admiral,n02276258,0.9998
322,ringlet,n02277742,0.9990
323,monarch,n02279972,0.9998
324,cabbage butterfly,n02280649,0.9994
325,sulphur butterfly,n02281406,0.9989
326,lycaenid,n02281787,0.9988
327,starfish,n02317335,0.9976
328,sea urchin,n02319095,0.9991
329,sea cucumber,n02321529,0.9986
330,hare,n02326432,0.9987
331,hare,n02326432,0.9992
332,angora,n02328150,0.9995
333,hamster,n02342885,0.9995
334,echidna,n01872401,0.9979
335,fox squirrel,n02356798,0.9970
336,marmot,n02361337,0.9982
337,beaver,n02363005,0.9951
338,guinea pig,n02364673,0.9994
339,sorrel,n02389026,0.9998
340,zebra,n02391049,0.9999
341,wild boar,n02396427,0.9981
342,wild boar,n02396427,0.9988
343,warthog,n02397096,0.9970
344,hippopotamus,n02398521,0.9991
345,ox,n02403003,0.9974
346,water buffalo,n02408429,0.9985
347,bison,n02410509,0.9997
348,ram,n02412080,0.9974
349,bighorn,n02415577,0.9985
350,ibex,n02417914,0.9988
351,hartebeest,n02422106,0.9992
352,impala,n02422699,0.9983
353,gazelle,n02423022,0.9989
354,arabian camel,n02437312,0.9996
355,llama,n02437616,0.9991
356,black-footed ferret,n02443484,0.9965
357,weasel,n02441942,0.9929
358,black-footed ferret,n02443484,0.9978
359,black-footed ferret,n02443484,0.9988
360,otter,n02444819,0.9972
361,polecat,n02443114,0.9919
362,badger,n02447366,0.9974
363,armadillo,n02454379,0.9984
364,three-toed sloth,n02457408,0.9988
365,gorilla,n02480855,0.9954
366,gorilla,n02480855,0.9991
367,chimpanzee,n02481823,0.9979
368,gibbon,n02483362,0.9983
369,siamang,n02483708,0.9979
370,langur,n02488291,0.9937
371,patas,n02486261,0.9948
372,baboon,n02486410,0.9974
373,macaque,n02487347,0.9980
374,langur,n02488291,0.9976
375,colobus,n02488702,0.9986
376,proboscis monkey,n02489166,0.9994
377,titi,n02493509,0.9921
378,capuchin,n02492035,0.9961
379,howler monkey,n02492660,0.9974
380,squirrel monkey,n02494079,0.9954
381,spider monkey,n02493793,0.9961
382,squirrel monkey,n02494079,0.9988
383,madagascar cat,n02497673,0.9991
384,indri,n02500267,0.9983
385,indian elephant,n02504013,0.9987
386,tusker,n01871265,0.9985
387,lesser panda,n02509815,0.9998
388,giant panda,n02510455,0.9998
389,barracouta,n02514041,0.9984
390,eel,n02526121,0.9924
391,coho,n02536864,0.9982
392,rock beauty,n02606052,0.9990
393,anemone fish,n02607072,0.9994
394,sturgeon,n02640242,0.9977
395,gar,n02641379,0.9976
396,lionfish,n02643566,0.9997
397,puffer,n02655020,0.9994
398,abacus,n02666196,0.9989
399,abaya,n02667093,0.9989
400,academic gown,n02669723,0.9990
401,accordion,n02672831,0.9955
402,acoustic guitar,n02676566,0.9988
403,aircraft carrier,n02687172,0.9994
404,airliner,n02690373,0.9991
405,airship,n02692877,0.9967
406,altar,n02699494,0.9956
407,ambulance,n02701002,0.9984
408,amphibian,n02704792,0.9983
409,analog clock,n02708093,0.9949
410,apiary,n02727426,0.9994
411,apron,n02730930,0.9944
412,ashcan,n02747177,0.9821
413,assault rifle,n02749479,0.9967
414,backpack,n02769748,0.9983
415,bakery,n02776631,0.9942
416,balance beam,n02777292,0.9987
417,balloon,n02782093,0.9991
418,ballpoint,n02783161,0.9961
419,band aid,n02786058,0.9862
420,acoustic guitar,n02676566,0.9955
421,bannister,n02788148,0.9951
422,dumbbell,n03255030,0.9926
423,barber chair,n02791124,0.9991
