neuron,concept,concept_id,metric
1830,mezzanine,228,0.9399
1831,fire escape,143,0.9554
1832,corn field,104,0.9292
1833,trench,340,0.9880
1834,legislative chamber,211,0.9516
1835,sauna,295,0.9704
1836,japanese garden,197,0.9506
1837,bookstore,60,0.9796
1838,sandbox,294,0.9440
1839,"bus station, indoor",71,0.9898
1840,orchestra pit,250,0.9582
1841,"general store, outdoor",161,0.9216
1842,landfill,206,0.9090
1843,forest road,152,0.8657
1844,fire station,144,0.9675
1845,cockpit,98,0.9833
1846,cockpit,98,0.9045
1847,ruin,292,0.8804
1848,utility room,343,0.9395
1849,"basketball court, indoor",44,0.9538
1850,catacomb,85,0.9767
1851,"balcony, exterior",32,0.8651
1852,auto showroom,29,0.9850
1853,wind farm,360,0.9967
1854,army base,18,0.9968
1855,landing deck,207,0.9396
1856,"underwater, ocean deep",342,0.9732
1857,sandbox,294,0.9452
1858,corn field,104,0.9772
1859,"escalator, indoor",135,0.9950
1860,"athletic field, outdoor",24,0.9551
1861,"bus station, indoor",71,0.9563
1862,fishpond,145,0.9068
1863,clothing store,96,0.9654
1864,bullring,68,0.9955
1865,igloo,191,0.9722
1866,"arena, hockey",15,0.9986
1867,ball pit,34,0.9669
1868,"church, indoor",90,0.9243
1869,corral,105,0.9494
1870,ball pit,34,0.9838
1871,vegetable garden,345,0.9635
1872,home office,176,0.9737
1873,ski resort,304,0.9392
1874,sauna,295,0.9185
1875,waiting room,352,0.9499
1876,dam,113,0.8988
1877,rope bridge,291,0.9629
1878,carrousel,83,0.9400
1879,"stage, outdoor",316,0.8850
1880,raft,277,0.9973
1881,"parking garage, outdoor",256,0.9459
1882,ski slope,305,0.9592
1883,hot spring,180,0.9426
1884,"swimming pool, outdoor",326,0.9261
1885,japanese garden,197,0.9825
1886,"volleyball court, outdoor",351,0.9186
1887,"basketball court, indoor",44,0.9789
1888,bamboo forest,36,0.9673
1889,iceberg,190,0.9771
1890,railroad track,278,0.9562
1891,barndoor,41,0.9524
1892,"synagogue, outdoor",327,0.9732
1893,forest road,152,0.9448
1894,engine room,133,0.9809
1895,"bus station, indoor",71,0.9361
1896,manufactured home,221,0.9459
1897,boxing ring,65,0.9105
1898,attic,26,0.9774
1899,highway,175,0.9405
1900,jewelry shop,198,0.9358
1901,auto showroom,29,0.9903
1902,fishpond,145,0.9064
1903,phone booth,263,0.9154
1904,bowling alley,64,0.9739
1905,sauna,295,0.9440
1906,"movie theater, indoor",235,0.9780
1907,boxing ring,65,0.9967
1908,artists loft,22,0.9414
1909,shoe shop,300,0.9386
1910,"arena, hockey",15,0.9717
1911,soccer field,310,0.9667
1912,glacier,163,0.9767
1913,hayfield,173,0.9322
1914,amusement arcade,6,0.9837
1915,hayfield,173,0.9515
1916,crevasse,111,0.9859
1917,"parking garage, indoor",255,0.9510
1918,auto showroom,29,0.9862
1919,landfill,206,0.9884
1920,kindergarden classroom,202,0.9535
1921,watering hole,356,0.9662
1922,amusement arcade,6,0.9521
1923,pantry,253,0.9180
1924,archaelogical excavation,13,0.9632
1925,"forest, broadleaf",150,0.9674
1926,"ice skating rink, indoor",188,0.9946
1927,banquet hall,38,0.9605
1928,auditorium,27,0.9512
1929,airfield,0,0.9762
1930,jewelry shop,198,0.9589
1931,corridor,106,0.9468
1932,television room,328,0.9478
1933,"swimming pool, indoor",325,0.9622
1934,"forest, broadleaf",150,0.9572
1935,locker room,219,0.9714
1936,ball pit,34,0.9600
1937,"bazaar, indoor",46,0.9362
1938,throne room,331,0.9898
1939,"temple, asia",330,0.9332
1940,youth hostel,363,0.9621
1941,airfield,0,0.9717
1942,hayfield,173,0.9621
1943,waiting room,352,0.9301
1944,bowling alley,64,0.9798
1945,landing deck,207,0.9597
1946,amusement arcade,6,0.9637
1947,wave,357,0.9681
1948,excavation,136,0.9344
1949,soccer field,310,0.9778
1950,topiary garden,333,0.9533
1951,bus interior,70,0.9906
1952,grotto,167,0.9945
1953,lighthouse,214,0.9615
1954,raceway,276,0.9256
1955,"elevator, door",129,0.9651
1956,"canal, urban",79,0.9824
1957,manufactured home,221,0.8991
1958,ball pit,34,0.9858
1959,ski resort,304,0.9378
1960,nursery,240,0.9528
1961,wave,357,0.8797
1962,throne room,331,0.9505
1963,"desert, vegetation",117,0.9645
1964,canyon,81,0.8843
1965,aquarium,9,0.9568
1966,"escalator, indoor",135,0.9973
1967,"elevator, door",129,0.9856
1968,"underwater, ocean deep",342,0.9518
1969,martial arts gym,225,0.9591
1970,ball pit,34,0.9135
1971,legislative chamber,211,0.9908
1972,catacomb,85,0.9301
1973,football field,149,0.9334
1974,pizzeria,267,0.9724
1975,"arena, rodeo",17,0.9389
1976,"synagogue, outdoor",327,0.9890
1977,oast house,242,0.9397
1978,aqueduct,10,0.9511
1979,fabric store,137,0.9956
1980,manufactured home,221,0.9336
1981,vegetable garden,345,0.9765
1982,"swimming pool, outdoor",326,0.9278
1983,"parking garage, outdoor",256,0.9190
1984,clothing store,96,0.9515
1985,shoe shop,300,0.9701
1986,"hangar, outdoor",170,0.9766
1987,"florist shop, indoor",147,0.9594
1988,courthouse,108,0.9745
1989,rock arch,289,0.9676
1990,zen garden,364,0.9184
1991,alley,4,0.9329
1992,bank vault,37,0.9729
1993,forest road,152,0.9636
1994,wave,357,0.9698
1995,cemetery,86,0.9885
1996,bedchamber,51,0.9179
1997,carrousel,83,0.9209
1998,railroad track,278,0.9486
1999,lighthouse,214,0.9800
2000,bedchamber,51,0.9604
2001,igloo,191,0.9381
2002,restaurant kitchen,285,0.9583
2003,raceway,276,0.9473
2004,aquarium,9,0.9774
2005,corn field,104,0.9939
2006,roof garden,290,0.9182
2007,"escalator, indoor",135,0.9670
2008,soccer field,310,0.9592
2009,home theater,177,0.9544
2010,"elevator, door",129,0.9560
2011,waiting room,352,0.9305
2012,boxing ring,65,0.9640
2013,server room,298,0.9645
2014,snowfield,309,0.9272
