layer,unit,description,similarity
layer1,0,window screen,0.12646484
layer1,1,wildlife,0.10992432
layer1,2,decal,0.09838867
layer1,3,banner,0.07406616
layer1,4,"candle, taper, wax light",0.1822815
layer1,5,colorful,0.092437744
layer1,6,purple,0.21206665
layer1,7,typewriter keyboard,0.12423706
layer1,8,window screen,0.22076416
layer1,9,fruits,0.14788818
layer1,10,"grille, radiator grille",0.1293335
layer1,11,strawberry,0.1595459
layer1,12,"organ, pipe organ",0.12289429
layer1,13,"redshank, Tringa totanus",0.24130249
layer1,14,wine bottle,0.07388306
layer1,15,"prayer rug, prayer mat",0.13204956
layer1,16,manufacturer,0.12402344
layer1,17,"marimba, xylophone",0.14389038
layer1,18,"candle, taper, wax light",0.13708496
layer1,19,grid,0.073791504
layer1,20,cellar,0.08306885
layer1,21,"marimba, xylophone",0.15982056
layer1,22,"pick, plectrum, plectron",0.09631348
layer1,23,"prayer rug, prayer mat",0.16915894
layer1,24,"worm fence, snake fence, snake-rail fence, Virginia fence",0.099365234
layer1,25,zebra,0.138031
layer1,26,badges,0.09246826
layer1,27,"tiger shark, Galeocerdo cuvieri",0.44882202
layer1,28,"crayfish, crawfish, crawdad, crawdaddy",0.15979004
layer1,29,noir,0.07891846
layer1,30,window screen,0.30004883
layer1,31,garrison,0.11779785
layer1,32,quilt,0.08496094
layer1,33,female,0.34127808
layer1,34,crochet,0.16674805
layer1,35,orange,0.22024536
layer1,36,jellyfish,0.13903809
layer1,37,zebra,0.1383667
layer1,38,"dishrag, dishcloth",0.1756897
layer1,39,"capuchin, ringtail, Cebus capucinus",0.15957642
layer1,40,"sea cucumber, holothurian",0.23309326
layer1,41,window screen,0.17126465
layer1,42,window screen,0.16418457
layer1,43,"grille, radiator grille",0.12283325
layer1,44,"organ, pipe organ",0.1545105
layer1,45,snorkeling,0.41223145
layer1,46,"dishrag, dishcloth",0.20135498
layer1,47,chainlink fence,0.15802002
layer1,48,"accordion, piano accordion, squeeze box",0.07522583
layer1,49,"sea cucumber, holothurian",0.14752197
layer1,50,publication,0.1468811
layer1,51,"fire screen, fireguard",0.120269775
layer1,52,yellow,0.18777466
layer1,53,habitat,0.11138916
layer1,54,slashdot,0.061584473
layer1,55,"porcupine, hedgehog",0.10760498
layer1,56,chainlink fence,0.11642456
layer1,57,dozen,0.083740234
layer1,58,typewriter keyboard,0.08135986
layer1,59,window screen,0.14157104
layer1,60,alligator lizard,0.16403198
layer1,61,ivtools,0.18807983
layer1,62,bookmarks,0.087677
layer1,63,"slide rule, slipstick",0.07489014
