layer,unit,description,similarity
layer4,0,"prayer rug, prayer mat",0.16134644
layer4,1,"bookshop, bookstore, bookstall",0.58755493
layer4,2,digital clock,0.34750366
layer4,3,"tiger shark, Galeocerdo cuvieri",0.54571533
layer4,4,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.37594604
layer4,5,gown,0.52975464
layer4,6,"French horn, horn",0.75
layer4,7,"black swan, Cygnus atratus",0.40063477
layer4,8,"dishrag, dishcloth",0.3765564
layer4,9,"borzoi, Russian wolfhound",0.6457825
layer4,10,measuring cup,0.34628296
layer4,11,"cornet, horn, trumpet, trump",0.50564575
layer4,12,"black-footed ferret, ferret, Mustela nigripes",0.21054077
layer4,13,mashed potato,0.1913147
layer4,14,"Indian elephant, Elephas maximus",0.16934204
layer4,15,triumphal arch,0.40905762
layer4,16,"confectionery, confectionary, candy store",0.27160645
layer4,17,mating,0.44467163
layer4,18,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.5600586
layer4,19,"cello, violoncello",0.23388672
layer4,20,"ballplayer, baseball player",0.25564575
layer4,21,"feather boa, boa",0.36914062
layer4,22,holster,0.3171692
layer4,23,"computer keyboard, keypad",0.27200317
layer4,24,"French horn, horn",0.38589478
layer4,25,"Saluki, gazelle hound",0.2675476
layer4,26,"sea slug, nudibranch",0.3612671
layer4,27,"dogsled, dog sled, dog sleigh",0.63757324
layer4,28,Great Pyrenees,0.30371094
layer4,29,croquet ball,0.27459717
layer4,30,hourglass,0.30044556
layer4,31,"Angora, Angora rabbit",0.5316467
layer4,32,"racer, race car, racing car",0.26446533
layer4,33,digital clock,0.2685547
layer4,34,"affenpinscher, monkey pinscher, monkey dog",0.13174438
layer4,35,German short-haired pointer,0.5827942
layer4,36,cabinets,0.24060059
layer4,37,coral fungus,0.48202515
layer4,38,"fire screen, fireguard",0.42095947
layer4,39,"paddle, boat paddle",0.3449707
layer4,40,gown,0.3050232
layer4,41,"artichoke, globe artichoke",0.30297852
layer4,42,"Irish setter, red setter",0.4580078
layer4,43,hartebeest,0.38357544
layer4,44,beer glass,0.20578003
layer4,45,ski mask,0.34091187
layer4,46,chainlink fence,0.42364502
layer4,47,workspace,0.18896484
layer4,48,"ringneck snake, ring-necked snake, ring snake",0.24093628
layer4,49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.34579468
layer4,50,laserjet,0.32110596
layer4,51,"cheetah, chetah, Acinonyx jubatus",0.59243774
layer4,52,ping-pong ball,0.26690674
layer4,53,"rocking chair, rocker",0.30038452
layer4,54,"bald eagle, American eagle, Haliaeetus leucocephalus",0.26535034
layer4,55,"three-toed sloth, ai, Bradypus tridactylus",0.29449463
layer4,56,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.49624634
layer4,57,"wool, woolen, woollen",0.22070312
layer4,58,"spider monkey, Ateles geoffroyi",0.8234253
layer4,59,"lacewing, lacewing fly",0.20327759
layer4,60,"Norwegian elkhound, elkhound",0.6279297
layer4,61,"marimba, xylophone",0.28329468
layer4,62,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.19534302
layer4,63,barrels,0.42318726
layer4,64,"pencil box, pencil case",0.38974
layer4,65,"bullfrog, Rana catesbeiana",0.41427612
layer4,66,"tobacco shop, tobacconist shop, tobacconist",0.37200928
layer4,67,acoustic guitar,0.4577942
layer4,68,green mamba,0.5782471
layer4,69,"affenpinscher, monkey pinscher, monkey dog",0.29016113
layer4,70,soccer ball,0.17175293
layer4,71,whiskey jug,0.29174805
layer4,72,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",0.1421814
layer4,73,planetarium,0.27157593
layer4,74,crochet,0.29714966
layer4,75,steam locomotive,0.466156
layer4,76,speaker,0.22872925
layer4,77,mosquito net,0.68218994
layer4,78,gyromitra,0.4718628
layer4,79,shopping cart,0.3696289
layer4,80,pomegranate,0.5477295
layer4,81,"rubber eraser, rubber, pencil eraser",0.20523071
layer4,82,bee eater,0.2197876
layer4,83,West Highland white terrier,0.31518555
layer4,84,"dining table, board",0.28637695
layer4,85,shopping basket,0.43203735
layer4,86,"chambered nautilus, pearly nautilus, nautilus",0.340271
layer4,87,"jackfruit, jak, jack",0.38201904
layer4,88,moving van,0.24874878
layer4,89,purses,0.18572998
layer4,90,percussion,0.19857788
layer4,91,"letter opener, paper knife, paperknife",0.34918213
layer4,92,curly-coated retriever,0.58432007
layer4,93,acorn squash,0.44335938
layer4,94,"china cabinet, china closet",0.30010986
layer4,95,infant,0.28857422
layer4,96,window,0.269989
layer4,97,cliff dwelling,0.29992676
layer4,98,"Walker hound, Walker foxhound",0.71881104
layer4,99,tile roof,0.17376709
layer4,100,wire-haired fox terrier,0.24511719
layer4,101,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.34732056
layer4,102,"axolotl, mud puppy, Ambystoma mexicanum",0.37442017
layer4,103,dinnerware,0.21221924
layer4,104,missile,0.30685425
layer4,105,homepage,0.31433105
layer4,106,outfit,0.22903442
layer4,107,"pick, plectrum, plectron",0.42199707
layer4,108,hourglass,0.35302734
layer4,109,typewriter keyboard,0.2131958
layer4,110,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",0.29681396
layer4,111,suspension bridge,0.2428894
layer4,112,"tiger shark, Galeocerdo cuvieri",0.2956543
layer4,113,menus,0.25476074
layer4,114,pottery,0.21542358
layer4,115,acorn squash,0.14224243
layer4,116,"quilt, comforter, comfort, puff",0.61242676
layer4,117,"loupe, jeweler's loupe",0.21994019
layer4,118,cliff dwelling,0.6392517
layer4,119,overskirt,0.38259888
layer4,120,"maze, labyrinth",0.5161133
layer4,121,"notebook, notebook computer",0.39572144
layer4,122,soccer ball,0.23513794
layer4,123,tile roof,0.3757019
layer4,124,Kerry blue terrier,0.53097534
layer4,125,innocence,0.17782593
layer4,126,"bagel, beigel",0.33483887
layer4,127,Weimaraner,0.3999939
layer4,128,"chiffonier, commode",0.20910645
layer4,129,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.26052856
layer4,130,street sign,0.28726196
layer4,131,"grand piano, grand",0.3687439
layer4,132,"cicada, cicala",0.3855896
layer4,133,"African grey, African gray, Psittacus erithacus",0.20907593
layer4,134,"lipstick, lip rouge",0.3152771
layer4,135,rhinoceros beetle,0.8539429
layer4,136,"Tibetan terrier, chrysanthemum dog",0.32284546
layer4,137,agaric,0.33309937
layer4,138,"ringneck snake, ring-necked snake, ring snake",0.41275024
layer4,139,sleeping bag,0.44854736
layer4,140,"chiffonier, commode",1.0141907
layer4,141,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",0.29089355
layer4,142,black grouse,0.24337769
layer4,143,cassette player,0.29989624
layer4,144,"piggy bank, penny bank",0.42816162
layer4,145,glassware,0.32608032
layer4,146,Kerry blue terrier,0.6902466
layer4,147,candle,0.269104
layer4,148,cuirass,0.43875122
layer4,149,"spider monkey, Ateles geoffroyi",0.7135315
layer4,150,motif,0.26419067
layer4,151,hamper,0.40896606
layer4,152,"squirrel monkey, Saimiri sciureus",0.42269897
layer4,153,Weimaraner,0.41256714
layer4,154,manufacturer,0.42889404
layer4,155,gong,0.29244995
layer4,156,"lynx, catamount",0.41415405
layer4,157,"Angora, Angora rabbit",0.48638916
layer4,158,potpie,0.3463745
layer4,159,standard poodle,0.8673401
layer4,160,monitors,0.46643066
layer4,161,"walking stick, walkingstick, stick insect",0.24075317
layer4,162,collier,0.33877563
layer4,163,standard poodle,0.18920898
layer4,164,rake,0.20596313
layer4,165,steam locomotive,0.2921753
layer4,166,"dogsled, dog sled, dog sleigh",0.5760498
layer4,167,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.21026611
layer4,168,geyser,0.84054565
layer4,169,typewriter keyboard,0.617218
layer4,170,"rock crab, Cancer irroratus",0.80926514
layer4,171,"pitcher, ewer",0.32141113
layer4,172,"proboscis monkey, Nasalis larvatus",0.43170166
layer4,173,Yorkshire terrier,0.38900757
layer4,174,manufacturer,0.29919434
layer4,175,shower curtain,0.197052
layer4,176,"hand blower, blow dryer, blow drier, hair dryer, hair drier",0.2371521
layer4,177,"bicycle-built-for-two, tandem bicycle, tandem",0.54281616
layer4,178,"pineapple, ananas",0.5407715
layer4,179,"bicycle-built-for-two, tandem bicycle, tandem",0.38516235
layer4,180,butternut squash,0.39196777
layer4,181,"African chameleon, Chamaeleo chamaeleon",0.18231201
layer4,182,bustard,0.3482666
layer4,183,"prayer rug, prayer mat",0.4768982
layer4,184,"seat belt, seatbelt",0.24417114
layer4,185,"dishrag, dishcloth",0.43841553
layer4,186,"letter opener, paper knife, paperknife",0.2694702
layer4,187,sail,0.20388794
layer4,188,"computer keyboard, keypad",0.67181396
layer4,189,zebra,0.3494873
layer4,190,"thresher, thrasher, threshing machine",0.2932129
layer4,191,school bus,0.5039673
layer4,192,"washer, automatic washer, washing machine",0.344635
layer4,193,"solar dish, solar collector, solar furnace",0.28771973
layer4,194,"rocking chair, rocker",0.6234436
layer4,195,"common newt, Triturus vulgaris",0.34423828
layer4,196,"breastplate, aegis, egis",0.44345093
layer4,197,"marimba, xylophone",0.42178345
layer4,198,"washer, automatic washer, washing machine",0.26412964
layer4,199,fireboat,0.15115356
layer4,200,acorn squash,0.36828613
layer4,201,"notebook, notebook computer",0.28085327
layer4,202,"prairie chicken, prairie grouse, prairie fowl",0.5727539
layer4,203,water tower,0.30688477
layer4,204,croquet ball,0.35687256
layer4,205,grille,0.23260498
layer4,206,"lens cap, lens cover",0.25543213
layer4,207,German short-haired pointer,0.34954834
layer4,208,"brass, memorial tablet, plaque",0.3520813
layer4,209,"barn spider, Araneus cavaticus",0.7984619
layer4,210,spinning,0.1751709
layer4,211,balloon,0.29452515
layer4,212,Kerry blue terrier,0.51278687
layer4,213,zoo,0.26211548
layer4,214,"starfish, sea star",0.4064026
layer4,215,"ballplayer, baseball player",0.4064026
layer4,216,"oscilloscope, scope, cathode-ray oscilloscope, CRO",0.3859253
layer4,217,"capuchin, ringtail, Cebus capucinus",0.51660156
layer4,218,"box turtle, box tortoise",0.69540405
layer4,219,abaya,0.51083374
layer4,220,"ballplayer, baseball player",0.12863159
layer4,221,rapeseed,0.30889893
layer4,222,"computer keyboard, keypad",0.27017212
layer4,223,"crib, cot",0.32022095
layer4,224,boxes,0.22000122
layer4,225,thimble,0.17718506
layer4,226,panorama,0.4326172
layer4,227,"hot pot, hotpot",0.20681763
layer4,228,"doormat, welcome mat",0.16833496
layer4,229,"hognose snake, puff adder, sand viper",0.31063843
layer4,230,shoes,0.42687988
layer4,231,steel drum,0.26083374
layer4,232,participants,0.18215942
layer4,233,citrus,0.29107666
layer4,234,"European fire salamander, Salamandra salamandra",0.20690918
layer4,235,"bearskin, busby, shako",0.3260498
layer4,236,"brassiere, bra, bandeau",0.29611206
layer4,237,"Angora, Angora rabbit",0.2427063
layer4,238,instruments,0.23303223
layer4,239,acoustic guitar,0.4588623
layer4,240,"revolver, six-gun, six-shooter",0.22317505
layer4,241,"hoopskirt, crinoline",0.24542236
layer4,242,"Afghan hound, Afghan",0.68011475
layer4,243,honeycomb,0.18008423
layer4,244,steel drum,0.32159424
layer4,245,black grouse,0.4371643
layer4,246,"garter snake, grass snake",0.8939514
layer4,247,"clog, geta, patten, sabot",0.25836182
layer4,248,analog clock,0.38742065
layer4,249,"stinkhorn, carrion fungus",0.4336548
layer4,250,cliff dwelling,0.5650635
layer4,251,custard apple,0.18136597
layer4,252,"French horn, horn",0.38912964
layer4,253,"Gila monster, Heloderma suspectum",0.27105713
layer4,254,gymnastics,0.29714966
layer4,255,wildlife,0.32843018
layer4,256,"borzoi, Russian wolfhound",0.47329712
layer4,257,"zucchini, courgette",0.42770386
layer4,258,"stupa, tope",0.3456421
layer4,259,"bullfrog, Rana catesbeiana",0.34976196
layer4,260,"hand-held computer, hand-held microcomputer",0.306427
layer4,261,"disk brake, disc brake",0.44622803
layer4,262,swings,0.24737549
layer4,263,black-and-tan coonhound,0.3265686
layer4,264,guacamole,0.40560913
layer4,265,"lacewing, lacewing fly",0.31350708
layer4,266,Greater Swiss Mountain dog,0.7801819
layer4,267,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.31796265
layer4,268,bw,0.15420532
layer4,269,ambulance,0.22219849
layer4,270,"toilet tissue, toilet paper, bathroom tissue",0.20648193
layer4,271,"Eskimo dog, husky",0.48284912
layer4,272,ball,0.21789551
layer4,273,jack-o'-lantern,0.19885254
layer4,274,Greater Swiss Mountain dog,0.79489136
layer4,275,"African elephant, Loxodonta africana",0.39852905
layer4,276,"tiger shark, Galeocerdo cuvieri",0.62719727
layer4,277,fireboat,0.61535645
layer4,278,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.37020874
layer4,279,sunglass,0.46923828
layer4,280,flat-coated retriever,0.24798584
layer4,281,sleeping bag,0.28063965
layer4,282,typewriter keyboard,0.36376953
layer4,283,"dogsled, dog sled, dog sleigh",0.46374512
layer4,284,black grouse,0.17666626
layer4,285,pomegranate,0.29055786
layer4,286,"electric fan, blower",0.27505493
layer4,287,forklift,0.25128174
