layer,unit,description,similarity
layer4,288,"night snake, Hypsiglena torquata",0.82818604
layer4,289,"harmonica, mouth organ, harp, mouth harp",0.20593262
layer4,290,"china cabinet, china closet",0.48373413
layer4,291,"academic gown, academic robe, judge's robe",0.39123535
layer4,292,"box turtle, box tortoise",0.3894043
layer4,293,giant schnauzer,0.35513306
layer4,294,carbonara,0.37997437
layer4,295,birdhouse,0.22021484
layer4,296,boxes,0.38381958
layer4,297,"spider monkey, Ateles geoffroyi",0.31567383
layer4,298,"tabby, tabby cat",0.21929932
layer4,299,jigsaw puzzle,0.3972168
layer4,300,knee pad,0.39849854
layer4,301,soft-coated wheaten terrier,0.33032227
layer4,302,whiskey jug,0.38375854
layer4,303,"fire screen, fireguard",0.25891113
layer4,304,namibia,0.24829102
layer4,305,anemone fish,0.3449402
layer4,306,barometer,0.27697754
layer4,307,"spider monkey, Ateles geoffroyi",0.3477478
layer4,308,"organ, pipe organ",0.43060303
layer4,309,Rhodesian ridgeback,0.29971313
layer4,310,"stinkhorn, carrion fungus",0.8456116
layer4,311,"spider monkey, Ateles geoffroyi",0.7929077
layer4,312,street sign,0.28512573
layer4,313,manhole cover,0.24365234
layer4,314,"black-footed ferret, ferret, Mustela nigripes",0.29278564
layer4,315,"tiger shark, Galeocerdo cuvieri",0.3027649
layer4,316,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.35714722
layer4,317,cuirass,0.4512329
layer4,318,mating,0.5112915
layer4,319,totem pole,0.41375732
layer4,320,"prayer rug, prayer mat",0.42416382
layer4,321,"warplane, military plane",0.32318115
layer4,322,"disk brake, disc brake",0.29077148
layer4,323,Kerry blue terrier,1.1798401
layer4,324,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.37734985
layer4,325,"bathing cap, swimming cap",0.2672119
layer4,326,dumbbell,0.20010376
layer4,327,"pitcher, ewer",0.60162354
layer4,328,"ostrich, Struthio camelus",0.3113098
layer4,329,"tow truck, tow car, wrecker",0.21008301
layer4,330,go-kart,0.3106079
layer4,331,foods,0.3541565
layer4,332,bassoon,0.52853394
layer4,333,Australian terrier,0.4945984
layer4,334,"candle, taper, wax light",0.21951294
layer4,335,running shoe,0.23278809
layer4,336,"lacewing, lacewing fly",0.3211975
layer4,337,triceratops,0.49899292
layer4,338,measuring cup,0.35577393
layer4,339,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.27548218
layer4,340,lorikeet,0.2732544
layer4,341,"ballplayer, baseball player",0.3209839
layer4,342,hay,0.1251831
layer4,343,"pick, plectrum, plectron",0.23901367
layer4,344,"limpkin, Aramus pictus",0.20700073
layer4,345,"Angora, Angora rabbit",0.34606934
layer4,346,hartebeest,0.5851135
layer4,347,"rubber eraser, rubber, pencil eraser",0.282135
layer4,348,"pitcher, ewer",0.46673584
layer4,349,totem pole,0.43441772
layer4,350,"tiger shark, Galeocerdo cuvieri",0.502594
layer4,351,ceiling,0.28692627
layer4,352,"rock python, rock snake, Python sebae",0.375885
layer4,353,"feather boa, boa",0.45785522
layer4,354,"academic gown, academic robe, judge's robe",0.28445435
layer4,355,"prayer rug, prayer mat",0.5293579
layer4,356,"washer, automatic washer, washing machine",0.39260864
layer4,357,head cabbage,0.5888672
layer4,358,Kerry blue terrier,0.58981323
layer4,359,custard apple,0.32034302
layer4,360,toolkit,0.38198853
layer4,361,"long-horned beetle, longicorn, longicorn beetle",0.2899475
layer4,362,digital clock,0.36090088
layer4,363,barbell,0.25387573
layer4,364,"chiffonier, commode",0.3821411
layer4,365,"prayer rug, prayer mat",0.832489
layer4,366,wire-haired fox terrier,0.2602539
layer4,367,"academic gown, academic robe, judge's robe",0.30093384
layer4,368,compaq,0.31097412
layer4,369,totem pole,0.22366333
layer4,370,"sea slug, nudibranch",0.5463257
layer4,371,tarantula,0.4923706
layer4,372,"coyote, prairie wolf, brush wolf, Canis latrans",0.23071289
layer4,373,"hand-held computer, hand-held microcomputer",0.4360962
layer4,374,oxcart,0.29794312
layer4,375,"Scottish deerhound, deerhound",0.22351074
layer4,376,"plane, carpenter's plane, woodworking plane",0.29776
layer4,377,"microwave, microwave oven",0.18429565
layer4,378,"sloth bear, Melursus ursinus, Ursus ursinus",0.45135498
layer4,379,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.5630188
layer4,380,"hot pot, hotpot",0.24942017
layer4,381,bookshelf,0.3710327
layer4,382,"china cabinet, china closet",0.5166931
layer4,383,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.23703003
layer4,384,parking meter,0.13253784
layer4,385,swimming,0.36660767
layer4,386,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",0.22109985
layer4,387,"redshank, Tringa totanus",0.42626953
layer4,388,"lumbermill, sawmill",0.27236938
layer4,389,Irish water spaniel,0.17324829
layer4,390,"hognose snake, puff adder, sand viper",0.96224976
layer4,391,"slide rule, slipstick",0.5819702
layer4,392,"thunder snake, worm snake, Carphophis amoenus",0.4095459
layer4,393,chainlink fence,0.6036682
layer4,394,cauliflower,0.3784485
layer4,395,flags,0.22570801
layer4,396,pizza,0.23303223
layer4,397,"parallel bars, bars",0.24954224
layer4,398,"starfish, sea star",0.33773804
layer4,399,baboon,0.3050537
layer4,400,broccoli,0.41937256
layer4,401,scuba diver,0.42437744
layer4,402,Greater Swiss Mountain dog,0.69711304
layer4,403,"assault rifle, assault gun",0.35864258
layer4,404,bathroom,0.44610596
layer4,405,bottles,0.36087036
layer4,406,totem pole,0.16015625
layer4,407,"night snake, Hypsiglena torquata",0.38781738
layer4,408,pretzel,0.2225647
layer4,409,volleyball,0.3562317
layer4,410,"Angora, Angora rabbit",0.21707153
layer4,411,juvenile,0.23568726
layer4,412,barrel,0.19610596
layer4,413,barber chair,0.5058899
layer4,414,socks,0.31573486
layer4,415,"Walker hound, Walker foxhound",0.324646
layer4,416,acorn squash,0.25146484
layer4,417,"lycaenid, lycaenid butterfly",0.5288391
layer4,418,"red wolf, maned wolf, Canis rufus, Canis niger",0.20455933
layer4,419,"panpipe, pandean pipe, syrinx",0.20935059
layer4,420,"bagel, beigel",0.493927
layer4,421,"American alligator, Alligator mississipiensis",0.2704773
layer4,422,"brambling, Fringilla montifringilla",0.6447449
layer4,423,menus,0.4451294
layer4,424,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",0.39785767
layer4,425,"Polaroid camera, Polaroid Land camera",0.21966553
layer4,426,"pool table, billiard table, snooker table",0.5583801
layer4,427,"amphibian, amphibious vehicle",0.45703125
layer4,428,"pool table, billiard table, snooker table",0.45370483
layer4,429,"vizsla, Hungarian pointer",0.2447815
layer4,430,musicians,0.51693726
layer4,431,"rocking chair, rocker",0.6218262
layer4,432,consomme,0.18603516
layer4,433,Australian terrier,0.14733887
layer4,434,"Gila monster, Heloderma suspectum",0.37670898
layer4,435,landscapes,0.24179077
layer4,436,Kerry blue terrier,0.41375732
layer4,437,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.49386597
layer4,438,brushes,0.35543823
layer4,439,go-kart,0.18609619
layer4,440,"hot pot, hotpot",0.4350891
layer4,441,wooden spoon,0.3380127
layer4,442,"maillot, tank suit",0.2880249
layer4,443,"spider monkey, Ateles geoffroyi",0.7081299
layer4,444,"sloth bear, Melursus ursinus, Ursus ursinus",0.35601807
layer4,445,"spider monkey, Ateles geoffroyi",0.56362915
layer4,446,"quilt, comforter, comfort, puff",0.48532104
layer4,447,triumphal arch,0.4567871
layer4,448,peacock,0.59375
layer4,449,purple,0.24380493
layer4,450,"crossword puzzle, crossword",0.6524048
layer4,451,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.3006897
layer4,452,"pay-phone, pay-station",0.2637024
layer4,453,oil filter,0.17294312
layer4,454,collier,0.55233765
layer4,455,folding chair,0.2361145
layer4,456,electric locomotive,0.60253906
layer4,457,"brassiere, bra, bandeau",0.24224854
layer4,458,plastic bag,0.4118042
layer4,459,"Indian elephant, Elephas maximus",0.7524109
layer4,460,"sea cucumber, holothurian",0.50286865
layer4,461,"brambling, Fringilla montifringilla",0.1602478
layer4,462,acorn squash,0.4807129
layer4,463,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.589447
layer4,464,"chiffonier, commode",0.3137207
layer4,465,venice,0.23123169
layer4,466,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.5543518
layer4,467,broom,0.28500366
layer4,468,"bathing cap, swimming cap",0.38061523
layer4,469,cabbage butterfly,0.5064697
layer4,470,"leaf beetle, chrysomelid",0.33187866
layer4,471,"spider monkey, Ateles geoffroyi",0.8925171
layer4,472,sewing machine,0.2793579
layer4,473,oil filter,0.17849731
layer4,474,black-and-tan coonhound,0.33184814
layer4,475,"flute, transverse flute",0.36920166
layer4,476,fiddler crab,0.22415161
layer4,477,cabbage butterfly,0.25326538
layer4,478,"skunk, polecat, wood pussy",0.4463501
layer4,479,interior,0.28485107
layer4,480,"aircraft carrier, carrier, flattop, attack aircraft carrier",0.3503723
layer4,481,geyser,0.28341675
layer4,482,"pencil box, pencil case",0.2911377
layer4,483,badger,0.22210693
layer4,484,bookshelf,0.5720825
layer4,485,"affenpinscher, monkey pinscher, monkey dog",0.25
layer4,486,"black stork, Ciconia nigra",0.2298584
layer4,487,"common iguana, iguana, Iguana iguana",0.40805054
layer4,488,mating,0.3475952
layer4,489,barber chair,0.18884277
layer4,490,plants,0.32614136
layer4,491,"worm fence, snake fence, snake-rail fence, Virginia fence",0.23608398
layer4,492,"green lizard, Lacerta viridis",0.86450195
layer4,493,Sussex spaniel,0.26815796
layer4,494,"gasmask, respirator, gas helmet",0.23587036
layer4,495,"dogsled, dog sled, dog sleigh",0.18753052
layer4,496,abacus,0.22225952
layer4,497,Christmas stocking,0.19998169
layer4,498,consomme,0.34643555
layer4,499,"thunder snake, worm snake, Carphophis amoenus",0.37976074
layer4,500,"cello, violoncello",0.16479492
layer4,501,"prayer rug, prayer mat",0.1614685
layer4,502,knitting,0.44122314
layer4,503,ceiling,0.35287476
layer4,504,"ringlet, ringlet butterfly",0.25872803
layer4,505,"dishrag, dishcloth",0.26028442
layer4,506,"lens cap, lens cover",0.20596313
layer4,507,"barn spider, Araneus cavaticus",1.0031433
layer4,508,obelisk,0.25613403
layer4,509,mosquito net,0.52890015
layer4,510,catamaran,0.3927002
layer4,511,hornbill,0.38412476
