group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
6,6,"[('brass', 0.10842403288810484), ('trumpet', 0.06409085181451613), ('golden', 0.058682349420362906), ('tuba', 0.05512459047379032), ('gold', 0.051427041330645164), ('red', 0.05011970766129032), ('trombone', 0.04895413306451613), ('wessex', 0.04756804435483871)]","[('wessex tubas', 0.04756804435483871), ('bison bonasus eye', 0.03354964717741935), ('low res', 0.03173828125), ('brass pipes', 0.02860383064516129), ('tuba poster', 0.02860383064516129), ('dogs tennessee home facebook', 0.026839717741935484), ('bluetick coonhound', 0.026839717741935484), ('music trumpet flat transparent', 0.026304183467741934)]"
25,25,"[('banana', 0.2082790798611111), ('royal', 0.1322970920138889), ('python', 0.11492241753472222), ('product', 0.11338975694444445), ('quarter', 0.11063639322916667), ('chiquita', 0.1067165798611111), ('brand', 0.1067165798611111), ('sticker', 0.1067165798611111)]","[('chiquita brands', 0.1067165798611111), ('international srl photos', 0.1067165798611111), ('banana band', 0.10411241319444445), ('fyffes ireland introduces', 0.10411241319444445), ('fair trade sticker', 0.10340711805555555), ('fairtrade foundation sticker', 0.10308159722222222), ('kingdom fairtrade foundation sticker', 0.10172526041666667), ('global trade', 0.10172526041666667)]"
27,27,"[('blue', 0.10868326822916667), ('snow', 0.1085205078125), ('visible', 0.08528645833333333), ('upper', 0.08100382486979167), ('ski', 0.06892903645833333), ('crack', 0.066650390625), ('pressed', 0.066650390625), ('lip', 0.066650390625)]","[('glass cobalt', 0.066650390625), ('mold blown', 0.066650390625), ('scroll pontil mark', 0.066650390625), ('lip scroll', 0.066650390625), ('blue creamer', 0.066650390625), ('blue jug', 0.066650390625), ('finger grips', 0.066650390625), ('upper curve', 0.066650390625)]"
30,30,"[('gold', 0.0904541015625), ('guitar', 0.0904541015625), ('tune', 0.0904541015625), ('plated', 0.0904541015625), ('classical', 0.0904541015625), ('driving', 0.07513427734375), ('handed', 0.07513427734375), ('cab', 0.07513427734375)]","[('classical guitar tune', 0.0904541015625), ('happy john', 0.07513427734375), ('acoustic alvarez guitar', 0.0672607421875), ('spec pre switchplate walnut single toggle pre', 0.0650634765625), ('shallow depth', 0.06292724609375), ('acoustic guitar', 0.06292724609375), ('missingno ghostsprite', 0.062042236328125), ('chelyabinsk webm', 0.061859130859375)]"
32,32,"[('flag', 0.09466231496710527), ('yellow', 0.09261924342105263), ('coast', 0.07935855263157894), ('guard', 0.07935855263157894), ('plate', 0.07414165296052631), ('black', 0.06991416529605263), ('blue', 0.06812808388157894), ('grab', 0.055933902138157895)]","[('coast guard ireland flag seamless loop coast guard', 0.046463815789473686), ('ireland tricolor mug', 0.04530736019736842), ('common garter snake jigsaw', 0.04474198190789474), ('irish tricolor party paper plate', 0.039216694078947366), ('deepwater horizon oil spill div', 0.03893400493421053), ('strong credit', 0.03893400493421053), ('strong oil', 0.03893400493421053), ('deepwater horizon oil spill div class credit', 0.03893400493421053)]"
44,44,"[('green', 0.12257737379807693), ('white', 0.10792893629807693), ('blue', 0.10721529447115384), ('red', 0.09613506610576923), ('black', 0.08060631385216346), ('glass', 0.07570237379807693), ('bag', 0.07483849158653846), ('leg', 0.0667255108173077)]","[('red wine', 0.03731595552884615), ('reflective surface', 0.03731595552884615), ('green napkin', 0.03617037259615385), ('caesar salad', 0.03617037259615385), ('white wine', 0.034912109375), ('slow motionstock', 0.03416090745192308), ('high legs', 0.03416090745192308), ('transparent wine glasses', 0.03416090745192308)]"
46,46,"[('cage', 0.2275390625), ('metal', 0.12211100260416667), ('red', 0.10514322916666667), ('zoo', 0.10456194196428571), ('mink', 0.10005115327380952), ('sale', 0.08949497767857142), ('big', 0.08377511160714286), ('wheel', 0.07693917410714286)]","[('metal cage', 0.07156808035714286), ('chainlink fence', 0.047607421875), ('european mink mustela lutreola', 0.04699125744047619), ('fur farms', 0.04685174851190476), ('yellow mongoose cynictis penicillata', 0.04680524553571429), ('sweden shuts', 0.046549479166666664), ('mink fur', 0.046549479166666664), ('swedish fur farms', 0.04634021577380952)]"
71,71,"[('united', 0.08997691761363637), ('company', 0.08997691761363637), ('oil', 0.08997691761363637), ('kingdom', 0.08997691761363637), ('tank', 0.08997691761363637), ('shell', 0.08997691761363637), ('gloucestershire', 0.08997691761363637), ('office', 0.08824573863636363)]","[('oil tank gloucestershire', 0.08997691761363637), ('shell oil company', 0.08997691761363637), ('shell oil', 0.08957741477272728), ('hospital ward', 0.03469016335227273), ('huascaran majesty', 0.030473188920454544), ('impressionist landscape painting', 0.030473188920454544), ('peru thumbail', 0.030473188920454544), ('craft uk', 0.02618963068181818)]"
80,80,"[('slice', 0.12129429408482142), ('skin', 0.09089006696428571), ('green', 0.08773367745535714), ('raw', 0.08653041294642858), ('santa', 0.08332170758928571), ('buy', 0.07871791294642858), ('transparent', 0.07749720982142858), ('flesh', 0.07477678571428571)]","[('crazy cute cartoon illustration', 0.056884765625), ('angry red macaw illustration', 0.056884765625), ('fire truck', 0.05517578125), ('fire brigade', 0.054722377232142856), ('parade hagerstown maryland', 0.054722377232142856), ('bright red flesh', 0.054164341517857144), ('dark green skin', 0.054164341517857144), ('whole fruit', 0.054164341517857144)]"
81,81,"[('black', 0.1075168185763889), ('floating', 0.08260091145833333), ('bed', 0.05809190538194445), ('using', 0.055718315972222224), ('shoe', 0.05197482638888889), ('scaup', 0.04966905381944445), ('american', 0.04966905381944445), ('lesser', 0.04966905381944445)]","[('lesser scaup', 0.04966905381944445), ('american coot', 0.04966905381944445), ('american coots', 0.04953342013888889), ('nest panoramio', 0.049370659722222224), ('lay egg', 0.049370659722222224), ('late january', 0.04893663194444445), ('american coots fulica americana', 0.04893663194444445), ('natural environment', 0.04823133680555555)]"
