group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
89,89,"[('girl', 0.1318901909722222), ('cute', 0.1279025607638889), ('dress', 0.11314561631944445), ('back', 0.11149088541666667), ('little', 0.09226820203993055), ('playing', 0.09174262152777778), ('musician', 0.09174262152777778), ('saxophone', 0.09174262152777778)]","[('washington monument', 0.07866753472222222), ('rottnest island', 0.07579210069444445), ('cute quokka', 0.07579210069444445), ('orchid midi dress', 0.07378472222222222), ('skirt shows', 0.07378472222222222), ('womans skirt', 0.07378472222222222), ('slit green box', 0.07378472222222222), ('blonde foto', 0.07042100694444445)]"
94,94,"[('white', 0.09047444661458333), ('male', 0.06599934895833333), ('glass', 0.06365966796875), ('pet', 0.055959065755208336), ('moorish', 0.053761800130208336), ('idol', 0.053761800130208336), ('design', 0.04991912841796875), ('van', 0.049713134765625)]","[('area van', 0.038838704427083336), ('orange eggs', 0.037251790364583336), ('adult flies', 0.036397298177083336), ('moorish idol pet fish applique design', 0.035888671875), ('yellow russian barometer', 0.034322102864583336), ('barometer fragment', 0.034322102864583336), ('carpenter ants', 0.03179931640625), ('queens diamond jubilee', 0.030802408854166668)]"
95,95,"[('time', 0.13301595052083334), ('woman', 0.12394205729166667), ('comreg', 0.09369574652777778), ('change', 0.09369574652777778), ('microwave', 0.09369574652777778), ('spectrum', 0.09369574652777778), ('september', 0.09369574652777778), ('rule', 0.09369574652777778)]","[('comreg microwave spectrum rules changes september', 0.09369574652777778), ('comreg microwave spectrum rules', 0.08387586805555555), ('dish meals microwave times editors', 0.07893880208333333), ('microwave lite', 0.07893880208333333), ('neck brace', 0.07649739583333333), ('microwatch issue', 0.06770833333333333), ('microwave cooking times ebook', 0.06629774305555555), ('camila pajamas', 0.05335828993055555)]"
99,99,"[('man', 0.10595703125), ('bag', 0.09141710069444445), ('stacked', 0.09141710069444445), ('tank', 0.09141710069444445), ('silo', 0.09141710069444445), ('row', 0.09141710069444445), ('storage', 0.09141710069444445), ('fertilizer', 0.09141710069444445)]","[('fertilizers silos tank storage', 0.09141710069444445), ('silver boss', 0.0729709201388889), ('ornate hispanic saddle', 0.0729709201388889), ('western cowboy cuffs', 0.0642361111111111), ('mark dahl', 0.0642361111111111), ('silver buckles', 0.0642361111111111), ('montana silversmiths cowboy', 0.0636935763888889), ('bull attitude buckle', 0.0636935763888889)]"
103,103,"[('hand', 0.119537353515625), ('black', 0.10828653971354167), ('orange', 0.09785970052083333), ('park', 0.09382120768229167), ('juice', 0.07430013020833333), ('save', 0.07430013020833333), ('coupon', 0.07430013020833333), ('chicco', 0.07149251302083333)]","[('orange juice', 0.07430013020833333), ('chicco giveaway', 0.07149251302083333), ('chicago city', 0.07149251302083333), ('city tour travel', 0.06624348958333333), ('tourism brochure', 0.06624348958333333), ('chicago brochure', 0.06624348958333333), ('social media icons', 0.06270345052083333), ('keyboard buttons', 0.06270345052083333)]"
104,104,"[('snow', 0.09288330078125), ('lab', 0.0837890625), ('yellow', 0.0837890625), ('blastoff', 0.0826171875), ('web', 0.0826171875), ('space', 0.0826171875), ('shuttle', 0.0826171875), ('atlantis', 0.0826171875)]","[('yellow lab', 0.0837890625), ('space shuttle atlantis blastoff web', 0.0826171875), ('white dog', 0.07490234375), ('black labradors', 0.06884765625), ('snow slowmotion', 0.06884765625), ('space shuttle endeavour', 0.05625), ('tricolor arrows', 0.052490234375), ('loano savona', 0.052490234375)]"
114,114,"[('hand', 0.25401722301136365), ('male', 0.15360514322916666), ('holding', 0.0971383759469697), ('man', 0.09650582978219698), ('set', 0.09604344223484848), ('senior', 0.07347892992424243), ('person', 0.06760290897253787), ('people', 0.05969515713778409)]","[('male hand', 0.051994554924242424), ('senior man', 0.03780480587121212), ('indoor bike', 0.029592803030303032), ('grey hoodie', 0.028645833333333332), ('snare drum', 0.028645833333333332), ('back drum', 0.028645833333333332), ('blue jeans', 0.028645833333333332), ('professional tennis player', 0.02762488162878788)]"
127,127,"[('blue', 0.1644287109375), ('red', 0.1201171875), ('cab', 0.10081263950892858), ('brown', 0.099609375), ('grey', 0.09329659598214286), ('police', 0.09211077008928571), ('head', 0.09092494419642858), ('black', 0.0894775390625)]","[('yellow taxi cab foto', 0.06968470982142858), ('yellow taxi cab', 0.06912667410714286), ('sydney taxi', 0.06846400669642858), ('yellow taxi', 0.06839425223214286), ('purple swamphen', 0.06256975446428571), ('takahe porphyrio hochstetteri', 0.0625), ('red parrot', 0.062290736607142856), ('blue chest nape', 0.062290736607142856)]"
142,142,"[('red', 0.109716796875), ('orange', 0.0980224609375), ('brown', 0.0951416015625), ('mechanical', 0.090478515625), ('midlothian', 0.090478515625), ('yellow', 0.0825439453125), ('scotland', 0.069384765625), ('branch', 0.069384765625)]","[('direct scotland', 0.069384765625), ('aberdein considine', 0.069384765625), ('cheetah simulator', 0.06787109375), ('paduan hen cuckoo', 0.064501953125), ('irish pen', 0.064013671875), ('commercial port', 0.063916015625), ('shipping containers', 0.063916015625), ('aberdein considine bathgate', 0.060693359375)]"
159,159,"[('sheep', 0.4041748046875), ('merino', 0.4041748046875), ('wool', 0.375), ('zealand', 0.373779296875), ('face', 0.373779296875), ('farm', 0.373779296875), ('light', 0.3675537109375), ('head', 0.226806640625)]","[('zealand merino sheep', 0.373779296875), ('merino sheep', 0.2349853515625), ('wheat head', 0.226806640625), ('palomino horse mane', 0.213623046875), ('anglo nubian sheep wool', 0.2020263671875), ('australian adult merino sheep', 0.1993408203125), ('copy space', 0.1981201171875), ('cereal grain product', 0.1962890625)]"
163,163,"[('com', 0.06497737743236401), ('male', 0.05430368494104456), ('red', 0.04966821317319517), ('brown', 0.04766314471209491), ('animal', 0.0398153234411169), ('sale', 0.037871325457537616), ('female', 0.033778663917824074), ('head', 0.030117260968243634)]","[('national park', 0.004812961154513889), ('archie entlebucher needs home', 0.004545084635416667), ('indian birds', 0.004375994646990741), ('jpeg format', 0.004197862413194444), ('abcteach member', 0.004197862413194444), ('clipart illustrations', 0.004197862413194444), ('commercial use', 0.004197862413194444), ('walker coonhound', 0.0037027994791666665)]"
166,166,"[('snow', 0.1932781672073623), ('winter', 0.0767341225834216), ('motion', 0.0728366657838983), ('dog', 0.07107802568855932), ('street', 0.0694683527542373), ('lake', 0.0647076105667373), ('black', 0.0590965141684322), ('snowy', 0.05441439353813559)]","[('lake maine', 0.021401615466101694), ('frozen lake', 0.020131256620762712), ('pixels hunter', 0.019297454316737288), ('slow motion', 0.01668018405720339), ('absaroka dog', 0.016055349576271187), ('tours mush', 0.016055349576271187), ('own dog team', 0.016055349576271187), ('black grouse', 0.015873278601694914)]"
196,196,"[('white', 0.10706035907451923), ('back', 0.10366586538461539), ('red', 0.0934307391826923), ('side', 0.08062274639423077), ('rattlesnake', 0.06850961538461539), ('southern', 0.06850961538461539), ('pacific', 0.06850961538461539), ('arm', 0.06662222055288461)]","[('southern pacific rattlesnake', 0.06850961538461539), ('red milk snake', 0.06276292067307693), ('leopard tortoises stigmochelys pardalis', 0.06084735576923077), ('campbells milk snake lampropeltis triangulum campbelli', 0.06050931490384615), ('mojave rattlesnake', 0.05908203125), ('eastern milk snake', 0.05885667067307692), ('pueblan milk snake', 0.057729867788461536), ('wood shutterstock vector', 0.057542067307692304)]"
203,203,"[('leaf', 0.20947265625), ('grass', 0.15771484375), ('soft', 0.124755859375), ('frost', 0.124755859375), ('rosemary', 0.124755859375), ('sprig', 0.124755859375), ('bush', 0.124755859375), ('covered', 0.124755859375)]","[('delicate leaves', 0.124755859375), ('rosemary sprig', 0.124755859375), ('light sunshine', 0.1142578125), ('heavy frost', 0.1142578125), ('twig geograph uk', 0.11092122395833333), ('pine hoar frost', 0.10929361979166667), ('wet grass', 0.10774739583333333), ('aloe vera', 0.084716796875)]"
220,220,"[('bread', 0.06422642299107142), ('slice', 0.06422642299107142), ('american', 0.057277134486607144), ('covered', 0.052943638392857144), ('see', 0.047816685267857144), ('texture', 0.03951045445033482), ('beach', 0.03911372593470982), ('front', 0.038639613560267856)]","[('white square plate', 0.032627650669642856), ('white bread', 0.03159877232142857), ('white bac', 0.03159877232142857), ('judith cinemas', 0.031197684151785716), ('great white shark link', 0.030918666294642856), ('pier buildings front', 0.030465262276785716), ('golden plover', 0.030447823660714284), ('indian cabbage', 0.029837472098214284)]"
223,223,"[('row', 0.07275390625), ('male', 0.059420072115384616), ('white', 0.05609130859375), ('brown', 0.05588942307692308), ('market', 0.052584134615384616), ('chair', 0.05202073317307692), ('fresh', 0.050950270432692304), ('cat', 0.048978365384615384)]","[('male wild turkey', 0.03667743389423077), ('body feathers', 0.03667743389423077), ('king cobra', 0.03635817307692308), ('public laundromat', 0.034067007211538464), ('machine row', 0.034067007211538464), ('empty baskets', 0.032789963942307696), ('oversize load row', 0.03217022235576923), ('uneven teeth', 0.031663161057692304)]"
225,225,"[('eye', 0.28765869140625), ('head', 0.18017578125), ('elephant', 0.18017578125), ('feeding', 0.1746826171875), ('fotografie', 0.1746826171875), ('sad', 0.1663818359375), ('skin', 0.1663818359375), ('abstract', 0.16162109375)]","[('skin details', 0.1663818359375), ('sad eye', 0.1663818359375), ('asian elephant abstract', 0.16162109375), ('purple eyes', 0.12127685546875), ('rear drum brake wheel cylinder', 0.107666015625), ('grand wagoneer', 0.107666015625), ('chevy brake wheel cylinder', 0.09783935546875), ('corvette brake wheel cylinder front', 0.088134765625)]"
228,228,"[('carpet', 0.09858952012172965), ('woman', 0.09286995821220931), ('black', 0.07740677234738372), ('sitting', 0.07579146984011628), ('grass', 0.07238343704578488), ('front', 0.07006693995276163), ('brown', 0.06555459665697674), ('wearing', 0.06288324400436046)]","[('persons feet', 0.03519883266715116), ('sandy hollow', 0.029265647710755814), ('front paw', 0.027315361555232558), ('tan shih poo', 0.027315361555232558), ('hardwood floor', 0.027315361555232558), ('grey brick footpath', 0.024269281431686048), ('day notice', 0.024269281431686048), ('orange nike swoosh', 0.024269281431686048)]"
233,233,"[('eye', 0.2083251953125), ('blue', 0.14375), ('baby', 0.13592529296875), ('beautiful', 0.1036865234375), ('boy', 0.1014892578125), ('head', 0.0974853515625), ('happy', 0.0962890625), ('weimoo', 0.0931640625)]","[('weimaraner eyes', 0.0931640625), ('colourful daisy', 0.09208984375), ('marcia rubin', 0.091357421875), ('soulful eyes', 0.091357421875), ('dogs weimaraners', 0.090234375), ('white gradient', 0.0884765625), ('weimaraner dog', 0.0884765625), ('candy corn', 0.0861328125)]"
238,238,"[('brass', 0.1725792518028846), ('trumpet', 0.1650390625), ('musician', 0.14772385817307693), ('valve', 0.14436222956730768), ('pressing', 0.14436222956730768), ('play', 0.14436222956730768), ('music', 0.14436222956730768), ('finger', 0.14436222956730768)]","[('classical music', 0.14436222956730768), ('brass trumpet plays', 0.14436222956730768), ('tiverton brass band trumpet', 0.1065204326923077), ('australian crake porzana fluminea', 0.07620943509615384), ('water rail', 0.07425631009615384), ('water rail greeting card', 0.07189002403846154), ('capuchin sapajus macrocephalus', 0.0717022235576923), ('cattail marsh wren', 0.07110126201923077)]"
250,250,"[('tree', 0.12161222068212366), ('rock', 0.1024504630796371), ('cliff', 0.06884109332997312), ('face', 0.0657184559811828), ('forest', 0.06239236811155914), ('park', 0.05622519216229839), ('walking', 0.04967014763944892), ('canyon', 0.048622049311155914)]","[('national park', 0.025112357190860215), ('male rock climber', 0.01785114247311828), ('national monument', 0.015089465725806451), ('forest kicking', 0.014973958333333334), ('fremont rock art', 0.01339885752688172), ('headdress necklace', 0.01339885752688172), ('yucca brush', 0.01339885752688172), ('eyes indicative', 0.01339885752688172)]"
270,270,"[('leucanthemum', 0.10079308712121213), ('flower', 0.09983871922348485), ('wearing', 0.08798495205965909), ('daisy', 0.07365648674242424), ('suit', 0.07199928977272728), ('folding', 0.056070963541666664), ('protection', 0.053947679924242424), ('protective', 0.05311168323863636)]","[('white protective suit', 0.051373106060606064), ('additional protection', 0.05098839962121212), ('wire bee veil bee suit', 0.05098839962121212), ('white orchid hair flowers bit', 0.041400331439393936), ('honeymoon saint lucia', 0.041400331439393936), ('burnettsboards com', 0.041400331439393936), ('protective suit', 0.037323922821969696), ('white daisy flower', 0.036384351325757576)]"
281,281,"[('head', 0.1414513221153846), ('hand', 0.11622971754807693), ('vintage', 0.08847280649038461), ('sleeping', 0.08623798076923077), ('green', 0.08340219350961539), ('yacht', 0.07818134014423077), ('baby', 0.07785738431490384), ('poster', 0.07224684495192307)]","[('head taller', 0.07192758413461539), ('double bass double bass', 0.07192758413461539), ('norwegian band ila auto', 0.07192758413461539), ('bass instrument', 0.07192758413461539), ('bassist kristoffer iversen', 0.07192758413461539), ('marine reef aquariums brain coral', 0.0718524639423077), ('saltwater aquarium corals', 0.0718524639423077), ('double bass', 0.07083834134615384)]"
284,284,"[('black', 0.1787109375), ('scary', 0.1787109375), ('eye', 0.1787109375), ('watch', 0.1787109375), ('halloween', 0.1787109375), ('glowing', 0.1787109375), ('cat', 0.1787109375), ('bird', 0.1680908203125)]","[('halloween scary', 0.1787109375), ('black cat', 0.1787109375), ('banty rooster chicken bird fowl', 0.1680908203125), ('black cat gifs', 0.1651611328125), ('mary gardner', 0.1651611328125), ('happy halloween cross', 0.1651611328125), ('red eyes solo tamer karata wolf', 0.1466064453125), ('ambiguous gender canine feral', 0.1466064453125)]"
296,296,"[('box', 0.03890195100203804), ('design', 0.03361975628396739), ('side', 0.026958963145380436), ('modern', 0.026591425356657608), ('com', 0.025735606317934784), ('chest', 0.025589652683423912), ('white', 0.02433378800101902), ('wooden', 0.023485930069633152)]","[('bakery shelf', 0.018565302309782608), ('coffee shop', 0.018565302309782608), ('breadbasket pose', 0.01774796195652174), ('pet toy box cedar', 0.01750382133152174), ('coffee shop counter', 0.017217221467391304), ('container port flugzeug fotos und bilder', 0.017111073369565216), ('round breads', 0.01694123641304348), ('showcase shelf', 0.01694123641304348)]"
300,300,"[('green', 0.031375369510135136), ('black', 0.02906139476879223), ('portable', 0.026229445998733107), ('baby', 0.025527541701858107), ('white', 0.02462871654613598), ('transparent', 0.02309108424831081), ('sound', 0.02221019847972973), ('soundspa', 0.02221019847972973)]","[('homedics soundspa', 0.02221019847972973), ('sound machine', 0.02221019847972973), ('homedics mybaby soundspa', 0.020903716216216218), ('christmas hat transparent', 0.017578125), ('baby soundspa', 0.01682590793918919), ('riesenschnauzer dog outdoor', 0.012108055320945946), ('black giant schnauzer', 0.012108055320945946), ('giant schnauzer pins', 0.011619774070945946)]"
344,344,"[('white', 0.13867696126302084), ('skin', 0.12841796875), ('bird', 0.11678059895833333), ('head', 0.11204020182291667), ('bright', 0.09189860026041667), ('design', 0.08675130208333333), ('eastern', 0.08158365885416667), ('known', 0.08158365885416667)]","[('white pelican images', 0.08158365885416667), ('pelecanus onocrotalus', 0.08158365885416667), ('white male pelican', 0.07588704427083333), ('pink pelican', 0.07552083333333333), ('white pelican shows', 0.07491048177083333), ('birds eye', 0.07491048177083333), ('birds beak', 0.07491048177083333), ('bright orange skin', 0.07491048177083333)]"
348,348,"[('mouth', 0.08934485394021739), ('pottery', 0.08622409986413043), ('large', 0.08621348505434782), ('bread', 0.06415591032608696), ('body', 0.06052697223165761), ('green', 0.05698029891304348), ('urn', 0.056523862092391304), ('ovoid', 0.054804262907608696)]","[('butternut squash', 0.03916599439538043), ('fish eyes', 0.037576426630434784), ('giant moray eel', 0.037576426630434784), ('stone bowls', 0.036801545516304345), ('duck eggs', 0.036801545516304345), ('green moray eel', 0.035814368206521736), ('zigzag pattern aubergine trail', 0.035708220108695655), ('glass amphoriskos eastern mediterranean circa', 0.035708220108695655)]"
352,352,"[('snake', 0.08527192615327381), ('walking', 0.062244233630952384), ('boa', 0.05555943080357143), ('white', 0.054629371279761904), ('aerial', 0.048281715029761904), ('singer', 0.045154389880952384), ('review', 0.045154389880952384), ('carpet', 0.04184686569940476)]","[('python passions ball python encyclopedia', 0.03955078125), ('trentham pamela trentham pame', 0.03955078125), ('fragrance department', 0.03866722470238095), ('young woman', 0.03866722470238095), ('python ball python', 0.03762090773809524), ('carpet python', 0.034946986607142856), ('python snake', 0.034946986607142856), ('boa constrictor', 0.034342447916666664)]"
367,367,"[('wearing', 0.055257161458333336), ('bag', 0.050386868990384616), ('jacket', 0.041219075520833336), ('transparent', 0.03689027443910257), ('suit', 0.033743051382211536), ('girl', 0.028285882411858976), ('face', 0.028019831730769232), ('muslim', 0.02795723157051282)]","[('muslim woman', 0.02795723157051282), ('black veil', 0.02795723157051282), ('lupin harry', 0.022911658653846152), ('ootp remus lupin', 0.022911658653846152), ('fiat lol', 0.022636217948717948), ('lupin iii omg didnt', 0.022636217948717948), ('nsbe pin', 0.022185496794871796), ('mans suit jacket', 0.022185496794871796)]"
370,370,"[('red', 0.11800484035326086), ('coral', 0.10303795855978261), ('underwater', 0.08765179177989131), ('reef', 0.07983929177989131), ('garden', 0.05944028108016304), ('head', 0.05800197435461957), ('egg', 0.05184273097826087), ('valley', 0.05070163892663043)]","[('coral reef', 0.05356233016304348), ('displays text', 0.042390242866847824), ('like date', 0.042390242866847824), ('snack mexican sauce guacamole', 0.035379161005434784), ('event div', 0.03482719089673913), ('event div class credit', 0.03482719089673913), ('strong credit', 0.03482719089673913), ('red algae', 0.03371794327445652)]"
373,373,"[('hand', 0.08386589499080882), ('silk', 0.07571231617647059), ('tie', 0.073486328125), ('light', 0.07207174862132353), ('woman', 0.06633444393382353), ('office', 0.06533274931066177), ('computer', 0.06334731158088236), ('using', 0.06259334788602941)]","[('computer mouse', 0.051528033088235295), ('teenager hand', 0.051528033088235295), ('cell phone', 0.04816750919117647), ('wrist wrist pain', 0.04604204963235294), ('red light', 0.04604204963235294), ('aneapolitandream gallo spring summer', 0.042767693014705885), ('silk tie', 0.042344037224264705), ('celebrity body part', 0.04136029411764706)]"
379,379,"[('blue', 0.2856968470982143), ('jean', 0.0779296875), ('male', 0.058314732142857144), ('rear', 0.049745396205357145), ('frog', 0.04652622767857143), ('wearing', 0.04347098214285714), ('beetle', 0.04294084821428571), ('car', 0.04155622209821429)]","[('blue jeans', 0.0370849609375), ('black eyes', 0.025571986607142858), ('black racers head', 0.025571986607142858), ('silver cap', 0.024553571428571428), ('shiny blue bottle', 0.024553571428571428), ('blue poison dart frog', 0.02412109375), ('ground beetle', 0.023758370535714286), ('african dung beetle', 0.023604910714285714)]"
387,387,"[('red', 0.2084609420211227), ('orange', 0.0692455150462963), ('hand', 0.041346571180555555), ('american', 0.04019006799768519), ('white', 0.03688829210069444), ('holding', 0.034660734953703705), ('side', 0.029639576099537036), ('leg', 0.029624656394675927)]","[('american oystercatcher', 0.02626591435185185), ('red milk snake', 0.015603298611111111), ('red eft', 0.014427806712962963), ('variable oystercatcher', 0.014424189814814815), ('div class source bill dunson div div class desc', 0.01421802662037037), ('bright div div class', 0.01421802662037037), ('american flamingo phoenicopterus ruber', 0.012087673611111112), ('ups thumb', 0.009747540509259259)]"
389,389,"[('city', 0.1453188004032258), ('street', 0.1068390877016129), ('tree', 0.09997952368951613), ('traffic', 0.0857327368951613), ('light', 0.06997582220262097), ('com', 0.06726467993951613), ('rush', 0.06610698084677419), ('vehicle', 0.05473475302419355)]","[('city street', 0.05167905745967742), ('hollywood boulevard', 0.030163180443548387), ('losa angeles', 0.030163180443548387), ('evening paris france', 0.02865108366935484), ('foreground saggezza b roll', 0.028241557459677418), ('shallow dof', 0.028241557459677418), ('generic vehicles traffic jam', 0.027973790322580645), ('los angeles', 0.027973790322580645)]"
429,429,"[('white', 0.23008510044642858), ('black', 0.18765694754464285), ('horse', 0.14798409598214285), ('process', 0.12144252232142858), ('half', 0.12144252232142858), ('large', 0.12144252232142858), ('uniform', 0.12144252232142858), ('device', 0.12144252232142858)]","[('large images', 0.12144252232142858), ('white mark', 0.11432756696428571), ('front leg', 0.11432756696428571), ('sorrel horses feet', 0.11432756696428571), ('white socks', 0.11432756696428571), ('soft white fur', 0.10909598214285714), ('orange fur', 0.10909598214285714), ('extra toes', 0.10909598214285714)]"
432,432,"[('golden', 0.11019287109375), ('male', 0.0754638671875), ('blog', 0.068701171875), ('top', 0.06534423828125), ('head', 0.063800048828125), ('brown', 0.06378173828125), ('potato', 0.06373291015625), ('pan', 0.0625)]","[('neat yorkie', 0.06243896484375), ('straight golden coat', 0.06243896484375), ('mandarin cranberry blog', 0.0463623046875), ('large jar', 0.0458740234375), ('mandarin cranberry', 0.0458740234375), ('cute silky terrier', 0.0456787109375), ('soft blanket', 0.043896484375), ('oz cranberry', 0.0437255859375)]"
459,459,"[('elephant', 0.05751665900735294), ('top', 0.042040656594669115), ('swatch', 0.04137106502757353), ('dress', 0.03827622357536765), ('asian', 0.03791360294117647), ('brown', 0.03688767377068015), ('indian', 0.03533576516544118), ('foot', 0.034926470588235295)]","[('large images', 0.02765969669117647), ('national zoo elephant', 0.025404986213235295), ('fine art', 0.025404986213235295), ('asian elephant abstract', 0.02490234375), ('cavalier king charles dog', 0.024744370404411766), ('asian elephant headselective', 0.024658203125), ('indian elephant', 0.024658203125), ('asian elephant', 0.024500229779411766)]"
464,464,"[('red', 0.18033391779119318), ('brown', 0.088409423828125), ('horse', 0.06787664240056818), ('orange', 0.05721976540305398), ('side', 0.05411044034090909), ('style', 0.05104758522727273), ('african', 0.049882368607954544), ('wood', 0.04634510387073864)]","[('red bay horse', 0.03250399502840909), ('wooden antique style library cabinet', 0.02910822088068182), ('chili dog', 0.022427645596590908), ('celebration belle riverboat', 0.022383256392045456), ('moline il', 0.022383256392045456), ('hot dog', 0.021894975142045456), ('hot dogs', 0.021806196732954544), ('victoria australia chamberlain creighton', 0.02142888849431818)]"
