group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
2,2,"[('grass', 0.21544670336174243), ('green', 0.16911732066761365), ('chionochloa', 0.08936286695075757), ('egg', 0.08530125473484848), ('obscured', 0.08530125473484848), ('nest', 0.08530125473484848), ('leaf', 0.08261570785984848), ('carex', 0.08055530894886363)]","[('grass web site', 0.03648607658617424), ('american bittern botaurus lentiginosus', 0.030399206912878788), ('cattail marsh melbourne florida', 0.030399206912878788), ('possible brown rabbit', 0.022342566287878788), ('visible eye', 0.022342566287878788), ('common cottongrass eriophorum angustifolium', 0.021351207386363636), ('green leaves', 0.01959783380681818), ('green grass', 0.0194091796875)]"
26,26,"[('tree', 0.3169133112980769), ('branch', 0.27242807241586536), ('bird', 0.09401292067307693), ('perched', 0.09066537710336539), ('araucaria', 0.0801861102764423), ('blue', 0.075927734375), ('field', 0.0737774188701923), ('calocedrus', 0.06911057692307693)]","[('calocedrus decurrens', 0.06911057692307693), ('libocedrus decurrens', 0.06911057692307693), ('name tree', 0.04339130108173077), ('green trees', 0.037099984975961536), ('arborist lumberjack', 0.036733774038461536), ('electrical worker labors', 0.03585111177884615), ('orocovis puerto rico', 0.03585111177884615), ('mission assignment', 0.03585111177884615)]"
71,71,"[('abstract', 0.033077833387586804), ('bamboo', 0.029183281792534724), ('grass', 0.02621505172164352), ('forest', 0.026006627965856483), ('gigapixel', 0.020501624213324653), ('panorama', 0.020446918628833913), ('texture', 0.01838554099754051), ('set', 0.017584737141927084)]","[('designtnt textures treeline', 0.016471354166666667), ('gigapixel panoramabild von london bt tower london panorama', 0.014973195393880208), ('bamboo forest', 0.009219925491898148), ('long uncut green grass', 0.0075991030092592594), ('long grass', 0.007430013020833333), ('archery target', 0.006829607928240741), ('high speed arrow', 0.006829607928240741), ('chalepa ta kala', 0.006546585648148148)]"
137,137,"[('guess', 0.3309015610638787), ('thumb', 0.2834325453814338), ('ups', 0.28043787339154413), ('little', 0.27787547392003675), ('hard', 0.2717963723575368), ('quiz', 0.2717963723575368), ('alert', 0.2717963723575368), ('kissing', 0.2717963723575368)]","[('hard quiz', 0.2717963723575368), ('pretty little liars', 0.2717963723575368), ('ups thumb', 0.2717963723575368), ('celebrity lips', 0.12257439108455882), ('game guess', 0.10458176556755515), ('celebrity body part', 0.10458176556755515), ('celebrity eyes capital', 0.058995504940257355), ('womans lips', 0.05063332950367647)]"
170,170,"[('guess', 0.17725515365600586), ('little', 0.12207603454589844), ('quiz', 0.11710023880004883), ('thumb', 0.1141061782836914), ('kissing', 0.11257266998291016), ('liar', 0.11257266998291016), ('hard', 0.11257266998291016), ('alert', 0.11257266998291016)]","[('ups thumb', 0.11257266998291016), ('hard quiz', 0.11257266998291016), ('pretty little liars', 0.11257266998291016), ('celebrity eyes capital', 0.07391619682312012), ('celebrity lips', 0.033527374267578125), ('game guess', 0.031061172485351562), ('celebrity body part', 0.031061172485351562), ('iconic celebrity eyebrow', 0.013826370239257812)]"
