group,Unnamed: 0,concept_set_words,concept_set_noun_phrases
33,33,"[('water', 0.12192535400390625), ('shark', 0.06748199462890625), ('carp', 0.059407552083333336), ('motion', 0.050710042317708336), ('fancy', 0.05010986328125), ('swimming', 0.049288431803385414), ('menacing', 0.04483795166015625), ('web', 0.04483795166015625)]","[('water web', 0.04483795166015625), ('asian carp', 0.029886881510416668), ('shedd aquarium', 0.029886881510416668), ('fancy carps', 0.029520670572916668), ('black swan cygnus atratus', 0.026448567708333332), ('late evening', 0.026448567708333332), ('natural environment', 0.026448567708333332), ('phalarope non', 0.025675455729166668)]"
54,54,"[('bottle', 0.0689013250942888), ('glass', 0.05704577215786638), ('aquavac', 0.042593068089978446), ('product', 0.042593068089978446), ('name', 0.042593068089978446), ('erm', 0.042593068089978446), ('inside', 0.03561927532327586), ('vertical', 0.03482792295258621)]","[('aquavac erm bottle product name', 0.042593068089978446), ('remote control', 0.026821794181034482), ('netflix button', 0.026821794181034482), ('game chips', 0.02646821120689655), ('game cards', 0.02646821120689655), ('champagne bottle', 0.02550848599137931), ('ice bucket', 0.02550848599137931), ('modern computer processor cooler', 0.023993130387931036)]"
57,57,"[('green', 0.10708353470782844), ('red', 0.04947047330895249), ('abstract', 0.04623350805165816), ('grass', 0.04276555898238202), ('vector', 0.04143820003587372), ('light', 0.036562394122688135), ('white', 0.036312492526307395), ('pink', 0.03117899992028061)]","[('long uncut green grass', 0.020876514668367346), ('green grass shutterstock vector', 0.019242267219387755), ('blue sky', 0.012680365114795918), ('green grass', 0.010290029097576531), ('white green utensils', 0.009690888073979591), ('super hero capes', 0.009626116071428572), ('emerald green halloween cape custom superhero fancy dress capes', 0.009626116071428572), ('jpeg superherocapes co uk', 0.009626116071428572)]"
85,85,"[('black', 0.027133941650390625), ('white', 0.019376627604166665), ('grayscale', 0.018538411458333334), ('human', 0.018538411458333334), ('eye', 0.018538411458333334), ('red', 0.016965738932291665), ('woman', 0.015975189208984376), ('pixellated', 0.014729817708333334)]","[('human eye', 0.018538411458333334), ('womans eye', 0.014729817708333334), ('nose bridge', 0.014729817708333334), ('persons eye', 0.013020833333333334), ('womans eyes', 0.0118896484375), ('film psycho', 0.011189778645833334), ('body part fills', 0.011189778645833334), ('object item', 0.011189778645833334)]"
101,101,"[('grass', 0.10049715909090909), ('brown', 0.08893377130681818), ('distance', 0.07768110795454546), ('swimming', 0.07768110795454546), ('mute', 0.07768110795454546), ('pond', 0.07768110795454546), ('white', 0.07768110795454546), ('swan', 0.07768110795454546)]","[('white mute swan', 0.07768110795454546), ('symetrical zebra', 0.06645063920454546), ('white swan', 0.058416193181818184), ('wood grain texture', 0.05819424715909091), ('hardwood texture', 0.05038174715909091), ('woodgrain terra', 0.05015980113636364), ('long grass', 0.04922762784090909), ('red oak wood grain', 0.04323508522727273)]"
109,109,"[('black', 0.06703849460767664), ('blue', 0.038187109905740486), ('standing', 0.0361328125), ('beautiful', 0.032990828804347824), ('head', 0.031918733016304345), ('green', 0.030800197435461956), ('water', 0.029381793478260868), ('young', 0.027741805366847828)]","[('natural gas', 0.021548063858695652), ('blue natural gas flame', 0.021548063858695652), ('household stove', 0.021548063858695652), ('black photos', 0.021548063858695652), ('gas burner', 0.021325152853260868), ('gas stove', 0.021176545516304348), ('beautiful blue green flame', 0.021176545516304348), ('blue flame', 0.020911175271739132)]"
126,126,"[('transparent', 0.014856604842452315), ('glass', 0.009481962736662443), ('buy', 0.007262449006776552), ('rod', 0.007090396709270305), ('brush', 0.007000845831793708), ('light', 0.006266164350080061), ('fiber', 0.005865208737485044), ('pencil', 0.0057689305898305536)]","[('transparent feather pen', 0.0035507614548141893), ('center transparent', 0.0029939531206010696), ('winter male', 0.0028295302176260732), ('slim leather pants boot jeans fashion elastic', 0.0028295302176260732), ('waist leather', 0.0028295302176260732), ('oliberte com coupon codes', 0.001903637035472973), ('clothes colors', 0.0017961167000435493), ('loose ultra', 0.0017961167000435493)]"
